trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.1, 'e': 0.8469758853683539}",25,0,-126.82777954235198,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
167,False,"{'a': 0.1, 'e': 0.8461289094829856}",25,15,17.821779905775916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.8452827805735026}",30,19,-33.20461154130348,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.8444374977929291}",25,16,7.668430325931533,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.8435930602951361}",25,0,-49.11142684771307,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
171,False,"{'a': 0.1, 'e': 0.842749467234841}",25,0,-129.93416277176624,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
172,False,"{'a': 0.1, 'e': 0.8419067177676062}",30,0,-183.7294871005018,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
173,False,"{'a': 0.1, 'e': 0.8410648110498385}",20,0,-141.21892614056782,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
174,False,"{'a': 0.1, 'e': 0.8402237462387887}",25,0,-172.58506301370755,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
175,False,"{'a': 0.1, 'e': 0.8393835224925499}",20,0,-55.90678483542228,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
176,False,"{'a': 0.1, 'e': 0.8385441389700574}",20,0,-91.44216943546297,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
177,False,"{'a': 0.1, 'e': 0.8377055948310873}",30,7,-101.85572542294523,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
178,False,"{'a': 0.1, 'e': 0.8368678892362562}",20,0,-37.115063734940755,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
179,False,"{'a': 0.1, 'e': 0.83603102134702}",20,2,-65.42797848076651,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
180,False,"{'a': 0.1, 'e': 0.8351949903256729}",25,0,-68.02583965102455,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.8343597953353473}",25,0,-80.33615151445417,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
182,False,"{'a': 0.1, 'e': 0.8335254355400119}",20,0,-124.27139899333098,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
